School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2011,Reading,11,6937,West Burlington,38.0,45.0,84.4,80.1 - 90%,"607 Ramsey St
West Burlington, Iowa 52655
(40.820228036, -91.159167305)"
2011,Reading,5,2466,Gilbert,87.0,90.0,96.7,90.1 - 100%,"103 Mathews Dr
Gilbert, Iowa 50105
(42.106768816, -93.641641893)"
2011,Reading,5,5184,Perry,95.0,123.0,77.2,70.1 - 80%,"1102 Willis Ave. Ste 200
Perry, Iowa 50220
(41.838547891, -94.106322523)"
2011,Reading,3,2520,Glidden-Ralston,23.0,25.0,92.0,90.1 - 100%,"602 Idaho
Glidden, Iowa 51443
(42.061401498, -94.728933805)"
2011,Math,4,1965,East Central,25.0,28.0,89.3,80.1 - 90%,"121 S Mitchell
Preston, Iowa 52069
(42.048281617001, -90.397488025)"
2011,Math,8,6471,Tripoli,16.0,25.0,64.0,60.1 - 70%,"209 8th Ave SW
Tripoli, Iowa 506769662
(42.801523631, -92.260465)"
2011,Math,11,4772,North Central,49.0,56.0,87.5,80.1 - 90%,"105 S East St
Manly, Iowa 50456
(43.286787397, -93.19762046)"
2011,Math,11,4122,Martensdale-St Marys,35.0,45.0,77.8,70.1 - 80%,"390 Burlington
Martensdale, Iowa 50160
(41.372996559, -93.735495715)"
2011,Reading,7,819,West Hancock,28.0,44.0,63.6,60.1 - 70%,"510 9th Ave SW
Britt, Iowa 504230278
(43.09236146, -93.812842777)"
2011,Reading,4,6961,Western Dubuque,168.0,197.0,85.3,80.1 - 90%,"310 4th Street SW
Farley, Iowa 520469513
(42.440821398, -91.010297016)"
2011,Reading,6,1359,Colo-Nesco,29.0,33.0,87.9,80.1 - 90%,"919 West St.
Colo, Iowa 50056
(42.011418972, -93.319132584)"
2011,Math,11,3420,Lake Mills,39.0,44.0,88.6,80.1 - 90%,"102 S 4th Ave E
Lake Mills, Iowa 50450
(43.415622304, -93.532427647)"
2011,Math,8,3141,Iowa City,608.0,769.0,79.1,70.1 - 80%,"1725 N. Dodge Street
Iowa City, Iowa 52245
(41.680405278, -91.509737266)"
2011,Math,4,5949,Sheldon,64.0,71.0,90.1,90.1 - 100%,"1700 East Fourth Street
Sheldon, Iowa 51201
(43.184700136, -95.83483316)"
2011,Math,6,6768,Washington,92.0,112.0,82.1,80.1 - 90%,"404 West Main
Washington, Iowa 52353
(41.299488564, -91.695850367)"
2011,Math,8,1218,Clay Central-Everly,17.0,22.0,77.3,70.1 - 80%,"401 Church Street
Royal, Iowa 51357
(43.062450858, -95.285652829)"
2011,Reading,11,4572,Murray,17.0,20.0,85.0,80.1 - 90%,"216 Sherman
Murray, Iowa 501740187
(41.039881776, -93.953647488)"
2011,Reading,3,2763,Clayton Ridge,31.0,36.0,86.1,80.1 - 90%,"131 S River Park Dr
Guttenberg, Iowa 520520520
(42.78584866, -91.097232817)"
2011,Math,5,2151,Exira,9.0,14.0,64.3,60.1 - 70%,"105 East School Street
Exira, Iowa 500760335
(41.58636295, -94.874560332)"
2011,Math,11,3609,Lenox,17.0,23.0,73.9,70.1 - 80%,"600 S Locust
Lenox, Iowa 50851
(40.875287385, -94.555878104)"
2011,Reading,8,1611,Davenport,643.0,1020.0,63.0,60.1 - 70%,"1606 Brady St
Davenport, Iowa 52803
(41.536181077, -90.574097107)"
2011,Math,4,4572,Murray,22.0,25.0,88.0,80.1 - 90%,"216 Sherman
Murray, Iowa 501740187
(41.039881776, -93.953647488)"
2011,Math,7,5049,Ottumwa,206.0,304.0,67.8,60.1 - 70%,"422 McCarroll Dr
Ottumwa, Iowa 52501
(41.054992799, -92.404760643)"
2011,Math,5,4536,Mount Pleasant,120.0,149.0,80.5,80.1 - 90%,"307 E. Monroe, Suite 201
Mount Pleasant, Iowa 52641
(40.9662821, -91.550284312)"
2011,Reading,5,1079,Central Lee,65.0,73.0,89.0,80.1 - 90%,"2642 Highway 218
Donnellson, Iowa 52625
(40.577481452, -91.521042214)"
2011,Math,5,1071,Centerville,95.0,104.0,91.4,90.1 - 100%,"634 North Main
Centerville, Iowa 52544
(40.738462784, -92.874178226)"
2011,Reading,5,243,Andrew,14.0,17.0,82.4,80.1 - 90%,"13 S Marion
Andrew, Iowa 52030
(42.152732903, -90.591248222)"
2011,Reading,6,243,Andrew,7.0,16.0,43.8,40.1 - 50%,"13 S Marion
Andrew, Iowa 52030
(42.152732903, -90.591248222)"
2011,Math,8,387,Atlantic,85.0,97.0,87.6,80.1 - 90%,"1100 Linn St
Atlantic, Iowa 50022
(41.399920295, -95.007494477)"
2011,Reading,6,4203,Mediapolis,47.0,57.0,82.5,80.1 - 90%,"725 N. Northfield
Mediapolis, Iowa 52637
(41.01322067, -91.160449839)"
2011,Reading,11,1107,Chariton,82.0,124.0,66.1,60.1 - 70%,"140 East Albia Road
Chariton, Iowa 50049
(41.007192693, -93.292130564)"
2011,Math,5,1368,Columbus,35.0,62.0,56.5,50.1 - 60%,"1208 Colton St
Columbus Junction, Iowa 52738
(41.268605316, -91.367431777)"
2011,Reading,3,5310,Postville,24.0,46.0,52.2,50.1 - 60%,"314 W Post
Postville, Iowa 521620717
(43.083446813, -91.572598014)"
2011,Reading,3,441,A-H-S-T,23.0,34.0,67.7,60.1 - 70%,"768 South Maple Street
Avoca, Iowa 51521
(41.470851307, -95.341037428)"
2011,Reading,5,5508,Riceville,17.0,23.0,73.9,70.1 - 80%,"912 Woodland Ave
Riceville, Iowa 50466
(43.354809029, -92.554152827)"
2011,Math,3,4644,Newell-Fonda,20.0,23.0,87.0,80.1 - 90%,"205 Clark St
Newell, Iowa 505680297
(42.607244068, -94.998482383)"
2011,Math,4,1095,Central Lyon,40.0,42.0,95.2,90.1 - 100%,"1105 S Story
Rock Rapids, Iowa 51246
(43.421280709, -96.168318157)"
